,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9473085495313072,0.9675,0.8106508875739645,0.9744192116940746,0.5829787234042553,0.8887709484613707,0.8319323735054536
1,0.9503041985422565,0.9565,0.8165680473372781,0.9626729313495171,0.49110320284697506,0.8866160137153676,0.8482299862660282
2,0.950256317583587,0.97125,0.8165680473372781,0.9780736100234926,0.6216216216216216,0.8936798408205289,0.8348738162127335
3,0.9422231283564937,0.97175,0.7988165680473372,0.979378752283999,0.6308411214953271,0.8845021049822251,0.8156360000504661
4,0.9502516839424255,0.96525,0.8047337278106509,0.9723309840772644,0.5619834710743802,0.8845719515575291,0.827633533219491
5,0.9332184190325264,0.959,0.7810650887573964,0.9668493865831376,0.5096525096525096,0.8690065028218101,0.8078456682045317
6,0.9296119016617782,0.9565,0.7928994082840237,0.9637170451579222,0.4908424908424908,0.8741456828578085,0.8227512549122684
7,0.9348139361391575,0.978,0.7869822485207101,0.9864265204907335,0.7189189189189189,0.8810789755159624,0.7978113241817518
8,0.9292628340276071,0.96925,0.7869822485207101,0.9772905246671887,0.6045454545454545,0.8769893354885044,0.80526949628281
9,0.9225232029581165,0.96425,0.8106508875739645,0.971025841816758,0.5524193548387096,0.8872220469116009,0.8348396640580265
