,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9384976808625987,0.967,0.8284023668639053,0.9731140694335683,0.5761316872427984,0.8978474248709157,0.8512900932016152
1,0.946381821298995,0.97725,0.8165680473372781,0.9843382928739233,0.696969696969697,0.8965373376114177,0.8295603790371552
2,0.932930361006983,0.9665,0.8165680473372781,0.9731140694335683,0.5726141078838174,0.8914111596305048,0.8391288061558777
3,0.9397047443851851,0.96325,0.7869822485207101,0.971025841816758,0.5450819672131147,0.874173953149296,0.8104647833556022
4,0.9412956278506548,0.967,0.7928994082840237,0.9746802401461759,0.5800865800865801,0.8791037399977508,0.8134969558479097
5,0.9433143508500413,0.96425,0.8047337278106509,0.9712868702688593,0.5528455284552846,0.8840968860283352,0.8285232225860262
6,0.9359823859853977,0.96075,0.7633136094674556,0.9694596711041503,0.524390243902439,0.8602335501383571,0.7873598378755581
7,0.9551239576238071,0.96225,0.8284023668639053,0.968154528843644,0.5343511450381679,0.895556532656696,0.8556509753183126
8,0.9337126740897598,0.9655,0.8047337278106509,0.9725920125293657,0.5643153526970954,0.8846906780799827,0.8274114093512087
9,0.9542227144178834,0.9755,0.8284023668639053,0.9819890368050117,0.6698564593301436,0.9019323934329437,0.8435963496692243
