,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.8360726643598615,0.8215488215488216,0.875,0.8200692041522492,0.11864406779661017,0.8470894602302746,1.0669831223628692
1,0.6371781928319029,0.8619528619528619,0.21428571428571427,0.8939929328621908,0.09090909090909091,0.4376870048159474,0.23969508752117447
2,0.6552768166089966,0.8181818181818182,0.375,0.8304498269896193,0.057692307692307696,0.5580489988532434,0.45156250000000003
3,0.674390243902439,0.8383838383838383,0.5,0.8501742160278746,0.10416666666666667,0.6519870458942703,0.5881147540983607
4,0.7313109425785482,0.7744107744107744,0.46153846153846156,0.7887323943661971,0.09090909090909091,0.603349265236415,0.5851648351648352
5,0.7668467895740623,0.797979797979798,0.5454545454545454,0.8076923076923077,0.09836065573770492,0.6637465183030646,0.6753246753246752
6,0.7851063829787234,0.8047138047138047,0.4,0.8262411347517731,0.10909090909090909,0.5748882099162491,0.48412017167381977
7,0.7829324169530355,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.039603960396039604,0.6666666666666666,1.0
8,0.6613159567705023,0.8181818181818182,0.36363636363636365,0.8356643356643356,0.0784313725490196,0.5512512496508072,0.4351464435146444
9,0.7689043209876543,0.8181818181818182,0.4444444444444444,0.8298611111111112,0.07547169811320754,0.6073114196965402,0.5355648535564853
