,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.9722222222222222,0.8611111111111112,0.9166666666666666,0.8333333333333334,0.7333333333333333,0.8740073734751262,1.0999999999999999
2,0.9655172413793104,0.9166666666666666,0.7142857142857143,0.9655172413793104,0.8333333333333334,0.8304547985373997,0.7397959183673469
3,0.9895833333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8461538461538461,0.9166666666666666,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9955357142857143,0.9166666666666666,0.625,1.0,1.0,0.7905694150420949,0.625
6,1.0,0.9722222222222222,0.9090909090909091,1.0,1.0,0.9534625892455924,0.9090909090909091
7,0.9958847736625513,0.9722222222222222,1.0,0.9629629629629629,0.9,0.9813067629253163,1.0384615384615385
8,0.9835390946502057,0.9444444444444444,1.0,0.9259259259259259,0.8181818181818182,0.9622504486493763,1.08
9,0.9730769230769231,0.9722222222222222,1.0,0.9615384615384616,0.9090909090909091,0.9805806756909202,1.04
