,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9016467641665549,0.9565,0.593103448275862,0.9701686121919585,0.42786069651741293,0.7585580724638411,0.6113405863912963
1,0.9530068450946431,0.97675,0.6394557823129252,0.9896184791071893,0.7014925373134329,0.7954981198901824,0.6461639468270918
2,0.8791575690942346,0.9605,0.5231788079470199,0.9776565341647181,0.47878787878787876,0.7151847174862674,0.5351355917587243
3,0.9518414654156535,0.97175,0.5095541401273885,0.990632318501171,0.6896551724137931,0.7104792743185866,0.5143726189938413
4,0.8871890513887026,0.96375,0.5862068965517241,0.9779507133592736,0.5,0.7571535198748564,0.5994237629196012
5,0.9559383627989113,0.9785,0.6075949367088608,0.9937532535137948,0.8,0.7770453301918355,0.6114142867562712
6,0.8867844020386394,0.9535,0.5696969696969697,0.970013037809648,0.44976076555023925,0.7433797738751765,0.5873085695666341
7,0.9511204920518903,0.97325,0.554140127388535,0.9903721051262034,0.7016129032258065,0.740813690813477,0.5595271964146453
8,0.8818893409958471,0.9565,0.5483870967741935,0.9729518855656697,0.4497354497354497,0.7304479857089997,0.5636322873821903
9,0.9349792411893345,0.97725,0.5496688741721855,0.9940244219277734,0.7830188679245284,0.7391781144627435,0.5529732087529383
