,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9999934503429564,0.9995,0.9874213836477987,1.0,1.0,0.9936907887506046,0.9874213836477987
1,0.9999999999999999,0.9995,0.9858156028368794,1.0,1.0,0.9928824718147055,0.9858156028368794
2,0.9999921657108835,0.99925,0.9772727272727273,1.0,1.0,0.9885710532241612,0.9772727272727273
3,0.9999644058445603,0.9985,0.968944099378882,0.9997395154988278,0.9936305732484076,0.9842213696412467,0.9691965600613675
4,0.9999984196594366,0.998,0.9515151515151515,1.0,1.0,0.9754563811443091,0.9515151515151515
5,0.9999967251714783,0.99925,0.9874213836477987,0.9997396511325176,0.9936708860759493,0.9935614271945334,0.9876785246331237
6,0.9999982228035629,0.998,0.9452054794520548,1.0,1.0,0.972216786242685,0.9452054794520548
7,1.0,0.9995,0.9866666666666667,1.0,1.0,0.993310961716756,0.9866666666666667
8,0.9999834258996836,0.999,0.9808917197452229,0.9997397866250325,0.9935483870967742,0.990270911720803,0.9811470273245424
9,0.9999904066155979,0.99725,0.9325153374233128,1.0,1.0,0.9656683371755092,0.9325153374233128
