,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.953413920369818,0.9625,0.7321428571428571,0.9725991649269311,0.5394736842105263,0.8438492350321593,0.752769366399632
1,0.9628708743563062,0.97625,0.6025641025641025,0.9914151925078044,0.7401574803149606,0.7729108653278735,0.6077817922478116
2,0.9569396121120258,0.96325,0.7342657342657343,0.9717396940627431,0.49065420560747663,0.8446982656405422,0.7556197804330141
3,0.9727438724149251,0.98625,0.6842105263157895,0.9981808731808732,0.9369369369369369,0.8264174856556701,0.6854574603653105
4,0.9363620844251521,0.95775,0.7261146496815286,0.9672131147540983,0.475,0.8380379537867317,0.7507287056029364
5,0.9553327469766962,0.975,0.6586826347305389,0.9887816331854944,0.7189542483660131,0.8070274414911718,0.6661558150190384
6,0.9715090479483633,0.9815,0.7083333333333334,0.991701244813278,0.7611940298507462,0.8381259144122709,0.7142608089260809
7,0.9495577246347637,0.97475,0.6754966887417219,0.9864899974019226,0.6623376623376623,0.8163153353464754,0.6847476310157723
8,0.9533357038441784,0.9635,0.696969696969697,0.97496740547588,0.5450236966824644,0.8243316912201397,0.7148646129657096
9,0.9633907835227967,0.98475,0.6604938271604939,0.9984366857738406,0.9469026548672567,0.8120722060040002,0.6615280032990541
