,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9730769230769232,0.8888888888888888,0.8,0.9230769230769231,0.8,0.8593378488473195,0.8666666666666667
1,0.9963636363636363,0.9722222222222222,1.0,0.96,0.9166666666666666,0.9797958971132712,1.0416666666666667
2,1.0,0.8611111111111112,0.4444444444444444,1.0,1.0,0.6666666666666666,0.4444444444444444
3,1.0,0.9444444444444444,0.7777777777777778,1.0,1.0,0.8819171036881969,0.7777777777777778
4,1.0,0.9722222222222222,0.875,1.0,1.0,0.9354143466934853,0.875
5,0.9950738916256159,0.9722222222222222,1.0,0.9655172413793104,0.875,0.982607368881035,1.0357142857142856
6,1.0,0.9722222222222222,1.0,0.9666666666666667,0.8571428571428571,0.983192080250175,1.0344827586206897
7,1.0,0.9444444444444444,0.7777777777777778,1.0,1.0,0.8819171036881969,0.7777777777777778
8,1.0,0.9444444444444444,1.0,0.9166666666666666,0.8571428571428571,0.9574271077563381,1.090909090909091
9,1.0,0.9166666666666666,1.0,0.8928571428571429,0.7272727272727273,0.944911182523068,1.1199999999999999
