,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9917695473251029,0.9722222222222222,1.0,0.9629629629629629,0.9,0.9813067629253163,1.0384615384615385
1,1.0,0.9722222222222222,1.0,0.9629629629629629,0.9,0.9813067629253163,1.0384615384615385
2,1.0,0.9722222222222222,0.9166666666666666,1.0,1.0,0.9574271077563381,0.9166666666666666
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9884615384615384,0.9444444444444444,0.9,0.9615384615384616,0.9,0.9302605094190635,0.9359999999999999
5,1.0,0.9722222222222222,1.0,0.9642857142857143,0.8888888888888888,0.9819805060619657,1.037037037037037
6,1.0,0.9722222222222222,0.9090909090909091,1.0,1.0,0.9534625892455924,0.9090909090909091
7,0.9968253968253968,0.9722222222222222,1.0,0.9523809523809523,0.9375,0.9759000729485332,1.05
8,1.0,0.9166666666666666,1.0,0.8888888888888888,0.75,0.9428090415820634,1.125
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
