,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9732624391092554,0.9785,0.6071428571428571,0.9947807933194155,0.8360655737704918,0.7771576758205428,0.610328286613701
1,0.9793839975636572,0.98175,0.5562913907284768,0.9984411535463756,0.9333333333333333,0.7452678832922145,0.5571599174899576
2,0.9796691511316006,0.982,0.688622754491018,0.9947821549699974,0.8518518518518519,0.8276651664012147,0.6922347280262449
3,0.9658228210280018,0.985,0.7195121951219512,0.9963503649635036,0.8939393939393939,0.8466913476618547,0.7221477709282588
4,0.9768827116721033,0.98325,0.6883116883116883,0.9950598023920957,0.848,0.8275936760002449,0.6917289660953105
5,0.984095493336383,0.984,0.643312101910828,0.9979182930002602,0.926605504587156,0.8012321227991692,0.6446540828274607
6,0.9616225206526371,0.9825,0.6198830409356725,0.9986941760250718,0.954954954954955,0.7868122919725945,0.6206935574640926
7,0.9674879318570907,0.98575,0.668918918918919,0.9979231568016614,0.9252336448598131,0.8170248950992388,0.6703110498635994
8,0.9757211067663485,0.9825,0.6493506493506493,0.9958398335933437,0.8620689655172413,0.8041450382817023,0.6520633413583805
9,0.966055991355159,0.98275,0.6282051282051282,0.9971383975026015,0.8990825688073395,0.7914590670662494,0.6300079605584432
