,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9848452201393378,0.9712918660287081,0.7647058823529411,0.9755799755799756,0.3939393939393939,0.8637312927246216,0.7838474563792976
1,0.9911656970480499,0.9820574162679426,0.8235294117647058,0.9853479853479854,0.5384615384615384,0.900812437057329,0.8357752022742182
2,0.9860436893203883,0.9772727272727273,0.8333333333333334,0.9793689320388349,0.37037037037037035,0.9034051011030595,0.8508880627839737
3,0.9888401986561495,0.9796650717703349,0.8571428571428571,0.9828220858895705,0.5625,0.9178338252442481,0.8721241305510968
4,0.9895579268292682,0.9772727272727273,0.9375,0.9780487804878049,0.45454545454545453,0.9575597797042841,0.9585411471321696
5,0.9893292682926829,0.9820574162679426,0.875,0.9841463414634146,0.5185185185185185,0.927969853379132,0.88909541511772
6,0.9913093442505208,0.9820574162679426,0.8823529411764706,0.9841269841269841,0.5357142857142857,0.9318515648619012,0.896584440227704
7,0.9860092366204836,0.972488038277512,0.7222222222222222,0.9779951100244498,0.41935483870967744,0.8404342934961215,0.7384722222222222
8,0.9859563228757329,0.9700956937799043,1.0,0.9694002447980417,0.4318181818181818,0.9845812535276313,1.0315656565656566
9,0.9912832929782083,0.9844497607655502,1.0,0.9842615012106537,0.43478260869565216,0.9920995419869186,1.015990159901599
