,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9772600644285512,0.966,0.8896103896103896,0.969058762350494,0.53515625,0.9284851873508726,0.918014907014102
1,0.9613141668523884,0.9625,0.8831168831168831,0.9656786271450858,0.5074626865671642,0.9234755542497911,0.9145039128884039
2,0.9554478932404049,0.95125,0.8896103896103896,0.9537181487259491,0.43492063492063493,0.9211067114436802,0.9327812318542962
3,0.9732012007753037,0.96775,0.8766233766233766,0.9713988559542381,0.5510204081632653,0.9227951805003586,0.9024340220807031
4,0.976207359982711,0.97525,0.8896103896103896,0.9786791471658867,0.6255707762557078,0.9330825994593449,0.9089908497453663
5,0.961604568078827,0.96875,0.8636363636363636,0.9729589183567343,0.5611814345991561,0.9166693527205868,0.8876390845925853
6,0.9474010778612962,0.95775,0.8376623376623377,0.9625585023400937,0.4725274725274725,0.8979415377445024,0.8702456376686523
7,0.9659276630805491,0.955,0.8831168831168831,0.9578783151326054,0.4563758389261745,0.9197382845490112,0.9219510131562247
8,0.9711253385200342,0.9665,0.8636363636363636,0.9706188247529901,0.540650406504065,0.9155663341815672,0.8897791198889512
9,0.9680550209021348,0.9575,0.8766233766233766,0.9607384295371815,0.47202797202797203,0.917717694148219,0.9124474983744267
