,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.989090909090909,0.9444444444444444,0.9090909090909091,0.96,0.9090909090909091,0.9341987329938275,0.946969696969697
1,0.9930555555555555,0.9166666666666666,1.0,0.875,0.8,0.9354143466934853,1.1428571428571428
2,0.960591133004926,0.9166666666666666,0.8571428571428571,0.9310344827586207,0.75,0.8933250005738372,0.9206349206349206
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9944444444444445,0.9444444444444444,0.8333333333333334,0.9666666666666667,0.8333333333333334,0.8975274678557507,0.8620689655172414
5,0.9653846153846153,0.9166666666666666,0.7,1.0,1.0,0.8366600265340756,0.7
6,1.0,0.9444444444444444,0.8571428571428571,1.0,1.0,0.9258200997725514,0.8571428571428571
7,0.989090909090909,0.9444444444444444,0.9090909090909091,0.96,0.9090909090909091,0.9341987329938275,0.946969696969697
8,1.0,0.9444444444444444,1.0,0.9310344827586207,0.7777777777777778,0.9649012813540153,1.0740740740740742
9,1.0,0.9444444444444444,1.0,0.9259259259259259,0.8181818181818182,0.9622504486493763,1.08
