,AUC,accuracy,recall,Specificity,precision,gmeans,RS
0,0.9597218892351955,0.9285714285714286,0.8837209302325582,0.9484536082474226,0.8837209302325582,0.9155153220797775,0.9317492416582407
1,0.9558279370952821,0.9142857142857143,0.9130434782608695,0.9148936170212766,0.84,0.9139680794884328,0.9979777553083923
2,0.8504148912312177,0.8142857142857143,0.6938775510204082,0.8791208791208791,0.7555555555555555,0.7810264033022852,0.7892857142857143
3,0.9781890284203568,0.9357142857142857,0.9215686274509803,0.9438202247191011,0.9038461538461539,0.9326280657662291,0.9764239028944911
4,0.8864671437865973,0.8714285714285714,0.7735849056603774,0.9310344827586207,0.8723404255319149,0.8486661431395657,0.8308874912648498
5,0.9345513413506015,0.8571428571428571,0.8478260869565217,0.8617021276595744,0.75,0.8547359492941233,0.9838969404186796
6,0.9824501811594203,0.9285714285714286,0.9375,0.9239130434782609,0.8653846153846154,0.9306817276925928,1.0147058823529411
7,0.8768782238169994,0.8857142857142857,0.7346938775510204,0.967032967032967,0.9230769230769231,0.8428957232476142,0.7597402597402598
8,0.9051263362487852,0.8285714285714286,0.8571428571428571,0.8163265306122449,0.6666666666666666,0.8364857768130284,1.0499999999999998
9,0.979816102265082,0.9071428571428571,0.8571428571428571,0.9340659340659341,0.875,0.8947781532229574,0.9176470588235294
